ph,es_dia
12.57,1
12.57,1
12.57,1
12.509,1
12.509,1
12.509,1
12.48,1
12.48,1
12.48,1
12.45,1
12.45,1
12.45,1
12.45,1
12.45,1
12.45,1
12.42,1
12.42,1
12.42,1
12.36,1
12.36,1
12.36,1
12.36,1
12.36,1
12.36,1
12.33,1
12.33,1
12.3,1
12.3,1
12.269,1
12.269,1
12.269,1
12.179,1
12.179,1
12.179,1
12.059,1
12.059,1
12.059,1
11.91,1
11.91,1
11.91,1
11.809,1
11.809,1
11.809,1
11.75,1
11.75,1
11.75,1
11.719,0
11.719,0
11.719,0
11.66,0
11.66,0
11.66,0
11.599,0
11.599,0
11.599,0
11.54,0
11.54,0
11.54,0
11.48,0
11.48,0
11.48,0
11.44,0
11.44,0
11.44,0
11.44,0
11.44,0
11.44,0
11.44,0
11.44,0
11.48,0
11.48,0
11.48,0
11.48,0
11.48,0
11.48,0
11.509,0
11.509,0
11.509,0
11.509,0
11.509,0
11.509,0
11.54,0
11.54,0
11.54,0
11.54,0
11.54,0
11.57,0
11.57,0
11.57,0
11.57,0
11.57,0
11.599,0
11.599,0
11.599,0
11.599,0
11.599,0
11.599,0
11.599,0
11.599,0
11.599,0
11.599,0
11.599,0
11.599,0
11.63,0
11.63,0
11.63,0
11.63,0
11.63,0
11.66,0
11.66,0
11.66,0
11.66,0
11.66,0
11.66,0
11.69,0
11.69,0
11.69,0
11.719,0
11.719,0
11.719,0
11.719,0
11.719,0
11.75,0
11.75,0
11.75,0
11.75,0
11.75,0
11.75,0
11.75,0
11.75,0
11.75,0
11.78,0
11.78,0
11.78,0
11.78,0
11.78,0
11.78,0
11.809,0
11.809,0
11.809,0
11.809,0
11.809,0
11.84,0
11.84,0
11.84,0
11.84,0
11.84,0
11.84,0
11.84,0
11.84,0
11.84,0
11.84,0
11.84,0
11.84,0
11.88,0
11.88,0
11.88,0
11.88,0
11.88,0
11.88,0
11.88,0
11.88,0
11.88,0
11.88,0
11.88,0
11.88,0
11.88,0
11.88,0
11.88,0
11.91,0
11.91,0
11.91,0
11.91,0
11.91,0
11.91,0
11.91,0
11.91,0
11.91,0
11.91,0
11.91,0
11.91,0
11.91,0
11.91,0
11.94,0
11.94,0
11.94,0
11.94,0
11.94,0
11.969,0
11.969,0
11.969,0
11.969,0
11.969,0
11.969,0
12.0,0
12.0,0
12.0,0
12.0,0
12.0,0
12.0,0
12.0,0
12.0,0
12.03,0
12.03,0
12.03,0
12.03,0
12.03,0
12.03,0
12.059,0
12.059,0
12.059,0
12.059,0
12.09,0
12.09,0
12.09,0
12.12,0
12.12,0
12.12,0
12.15,0
12.15,0
12.15,0
12.21,0
12.21,0
12.21,0
12.269,0
12.269,0
12.269,0
12.3,0
12.3,0
12.3,0
12.33,0
12.33,0
12.33,0
12.33,0
12.33,0
12.33,0
12.36,0
12.36,0
12.389,0
12.389,0
12.42,0
12.42,0
12.42,0
12.48,0
12.48,0
12.54,0
12.54,0
12.54,0
12.599,0
12.599,0
12.599,0
12.67,0
12.67,0
12.67,0
12.7,0
12.7,0
12.7,0
12.73,0
12.73,0
12.73,0
12.73,0
12.73,0
12.759,0
12.759,0
12.759,0
12.759,0
12.759,0
12.759,0
12.759,0
12.759,0
12.79,0
12.79,0
12.79,0
12.79,0
12.79,0
12.79,0
12.82,0
12.82,0
12.849,0
12.849,0
12.849,0
12.849,0
12.849,0
12.88,0
12.88,0
12.88,0
12.88,0
12.88,0
12.88,0
12.88,0
12.88,0
12.88,0
12.88,0
12.88,0
12.849,0
12.849,0
12.849,0
12.849,0
12.849,0
12.849,0
12.88,0
12.88,0
12.88,0
12.88,0
12.88,0
12.88,0
12.91,0
12.91,0
12.91,0
12.94,0
12.94,0
12.94,0
13.0,0
13.0,0
13.0,0
13.03,0
13.03,0
13.03,0
13.09,0
13.09,0
13.09,0
13.15,0
13.15,0
13.15,0
13.21,0
13.21,0
13.21,0
13.23,0
13.23,0
13.23,0
13.259,0
13.259,0
13.259,0
13.29,0
13.29,0
13.29,0
13.32,0
13.32,0
13.32,0
13.38,0
13.38,0
13.38,0
13.41,0
13.41,0
13.41,0
13.44,0
13.44,0
13.44,0
13.469,0
13.469,0
13.469,0
13.5,0
13.5,0
13.5,0
13.53,0
13.53,0
13.53,0
13.559,0
13.559,0
13.62,0
13.62,0
13.62,0
13.679,0
13.679,0
13.679,0
13.74,0
13.74,0
13.74,0
13.83,0
13.83,0
13.83,0
13.92,0
13.92,0
13.92,0
14.0,0
14.0,0
14.0,0
14.12,0
14.12,0
14.24,0
14.24,0
14.24,0
14.33,0
14.33,0
14.33,0
14.469,0
14.469,0
14.469,0
14.589,0
14.589,0
14.589,0
14.71,0
14.71,0
14.71,0
14.79,0
14.79,0
14.91,0
14.91,0
14.91,0
14.99,0
14.99,0
15.049,0
15.049,0
15.049,0
15.139,0
15.139,0
15.25,0
15.25,0
15.339,0
15.339,0
15.339,0
15.429,0
15.429,0
15.429,0
15.54,0
15.54,0
15.54,0
15.679,0
15.679,0
15.849,0
15.849,0
15.849,0
16.02,0
16.02,0
16.02,0
16.17,0
16.17,0
16.17,0
16.309,0
16.309,0
16.309,0
16.529,0
16.529,0
16.529,0
16.76,0
16.76,0
16.76,0
16.92,0
16.92,0
17.15,0
17.15,0
17.15,0
17.369,0
17.369,0
17.59,1
17.59,1
17.76,1
17.76,1
17.76,1
17.949,1
17.949,1
18.109,1
18.109,1
18.109,1
18.279,1
18.279,1
18.279,1
18.359,1
18.359,1
18.359,1
18.359,1
18.359,1
18.33,1
18.33,1
18.33,1
18.359,1
18.359,1
18.3,1
18.3,1
18.19,1
18.19,1
18.19,1
18.029,1
18.029,1
17.869,1
17.869,1
17.869,1
17.779,1
17.779,1
17.779,1
17.81,1
17.81,1
17.89,1
17.89,1
17.89,1
18.08,1
18.08,1
18.08,1
18.359,1
18.359,1
18.359,1
18.6,1
18.6,1
18.6,1
18.949,1
18.949,1
18.949,1
19.52,1
19.52,1
19.52,1
20.029,1
20.029,1
20.029,1
20.449,1
20.449,1
20.449,1
20.9,1
20.9,1
20.9,1
21.39,1
21.39,1
21.39,1
21.73,1
21.73,1
21.89,1
21.89,1
21.89,1
21.89,1
21.89,1
21.89,1
21.939,1
21.939,1
21.939,1
22.1,1
22.1,1
22.1,1
22.119,1
22.119,1
22.119,1
21.91,1
21.91,1
21.91,1
21.58,1
21.58,1
21.58,1
21.32,1
21.32,1
21.32,1
21.16,1
21.16,1
21.029,1
21.029,1
21.029,1
21.06,1
21.06,1
21.06,1
21.24,1
21.24,1
21.24,1
21.58,1
21.58,1
21.58,1
21.939,1
21.939,1
21.939,1
22.3,1
22.3,1
22.3,1
22.64,1
22.64,1
22.64,1
22.82,1
22.82,1
22.82,1
22.92,1
22.92,1
22.92,1
23.0,1
23.0,1
23.0,1
23.15,1
23.15,1
23.15,1
23.23,1
23.23,1
23.23,1
23.23,1
23.23,1
23.23,1
23.199,1
23.199,1
23.199,1
23.1,1
23.1,1
23.1,1
22.89,1
22.89,1
22.89,1
22.84,1
22.84,1
22.84,1
23.019,1
23.019,1
23.35,1
23.35,1
23.35,1
23.859,1
23.859,1
23.859,1
24.439,1
24.439,1
24.439,1
24.869,1
24.869,1
24.869,1
24.939,1
24.939,1
24.939,1
24.92,1
24.92,1
24.92,1
24.939,1
24.939,1
24.939,1
24.92,1
24.92,1
24.689,1
24.689,1
24.689,1
24.64,1
24.64,1
24.64,1
24.74,1
24.74,1
24.74,1
24.869,1
24.869,1
24.869,1
25.07,1
25.07,1
25.07,1
25.189,1
25.189,1
25.189,1
25.369,1
25.369,1
25.39,1
25.39,1
25.39,1
24.89,1
24.89,1
24.89,1
24.59,1
24.59,1
24.59,1
24.39,1
24.39,1
24.39,1
24.49,1
24.49,1
24.64,1
24.64,1
24.64,1
24.74,1
24.74,1
24.789,1
24.789,1
24.789,1
24.519,1
24.519,1
24.519,1
23.84,1
23.84,1
23.84,1
23.279,1
23.279,1
23.279,1
22.71,1
22.71,1
22.71,1
22.35,1
22.35,1
22.35,1
21.99,1
21.99,1
21.99,1
21.66,1
21.66,1
21.66,1
21.5,1
21.5,1
21.5,1
21.5,1
21.5,1
21.5,1
21.6,1
21.6,1
21.6,1
21.71,1
21.71,1
21.71,1
21.789,1
21.789,1
22.039,1
22.039,1
22.039,1
22.33,1
22.33,1
22.46,1
22.46,1
22.46,1
22.46,1
22.46,1
22.529,1
22.529,1
22.529,1
22.66,1
22.66,1
22.66,1
22.609,1
22.43,1
22.43,1
22.43,1
22.279,1
22.279,1
22.279,1
22.17,1
22.17,1
22.039,1
22.039,1
22.039,1
21.789,1
21.789,1
21.789,1
21.0,1
21.0,1
20.21,1
20.21,1
20.21,1
19.49,1
19.49,1
19.49,1
19.119,1
19.119,1
18.71,1
18.71,1
18.71,1
17.92,1
17.92,1
17.51,1
17.51,1
17.51,1
17.619,1
17.619,1
17.869,1
17.869,1
17.869,1
17.81,1
17.81,1
17.81,1
17.699,1
17.699,1
17.699,1
17.48,1
17.48,1
17.48,1
17.09,1
17.09,1
16.619,1
16.619,1
16.619,1
16.19,1
16.19,1
15.94,1
15.94,1
15.74,1
15.74,1
15.74,1
15.57,1
15.57,1
15.57,1
15.37,1
15.37,1
15.37,1
15.2,1
15.2,1
15.2,1
14.73,1
14.73,1
14.73,1
14.179,1
14.179,1
14.179,1
13.83,1
13.83,1
13.83,1
13.799,1
13.799,1
13.769,1
13.769,1
13.769,1
13.59,1
13.59,1
13.59,1
13.12,1
13.12,1
13.12,1
12.7,1
12.7,1
12.7,1
12.599,1
12.599,1
12.599,1
12.599,1
12.599,1
12.599,1
12.48,1
12.48,1
12.3,1
12.3,1
12.3,1
12.179,1
12.179,1
12.059,1
12.059,1
12.059,1
11.94,1
11.94,1
11.94,1
11.84,1
11.84,1
11.84,1
11.75,1
11.75,1
11.75,1
11.66,1
11.66,1
11.66,1
11.599,1
11.599,1
11.599,1
11.54,1
11.54,1
11.54,1
11.48,1
11.48,1
11.48,1
11.38,1
11.38,1
11.38,1
11.259,1
11.259,1
11.259,1
11.139,0
11.139,0
11.139,0
11.07,0
11.07,0
11.07,0
11.04,0
11.04,0
11.04,0
11.01,0
11.01,0
11.01,0
10.98,0
10.98,0
10.98,0
10.92,0
10.92,0
10.92,0
10.849,0
10.849,0
10.849,0
10.82,0
10.82,0
10.82,0
10.79,0
10.79,0
10.79,0
10.76,0
10.76,0
10.76,0
10.73,0
10.73,0
10.73,0
10.73,0
10.73,0
10.73,0
10.7,0
10.7,0
10.7,0
10.7,0
10.7,0
10.7,0
10.7,0
10.7,0
10.7,0
10.7,0
10.7,0
10.7,0
10.7,0
10.73,0
10.73,0
10.76,0
10.76,0
10.76,0
10.76,0
10.76,0
10.76,0
10.76,0
10.76,0
10.76,0
10.76,0
10.76,0
10.76,0
10.76,0
10.76,0
10.76,0
10.76,0
10.76,0
10.79,0
10.79,0
10.79,0
10.79,0
10.79,0
10.849,0
10.849,0
10.849,0
10.849,0
10.849,0
10.849,0
10.849,0
10.849,0
10.849,0
10.849,0
10.849,0
10.889,0
10.889,0
10.889,0
10.889,0
10.889,0
10.889,0
10.92,0
10.92,0
10.92,0
10.95,0
10.95,0
10.95,0
10.95,0
10.95,0
10.95,0
10.95,0
10.95,0
10.95,0
10.92,0
10.92,0
10.92,0
10.92,0
10.92,0
10.92,0
10.889,0
10.889,0
10.889,0
10.889,0
10.889,0
10.889,0
10.889,0
10.889,0
10.889,0
10.95,0
10.95,0
10.95,0
11.01,0
11.01,0
11.01,0
11.04,0
11.04,0
11.04,0
11.07,0
11.07,0
11.07,0
11.099,0
11.099,0
11.099,0
11.099,0
11.099,0
11.099,0
11.099,0
11.099,0
11.099,0
11.099,0
11.099,0
11.099,0
11.099,0
11.099,0
11.099,0
11.139,0
11.139,0
11.139,0
11.17,0
11.17,0
11.23,0
11.23,0
11.29,0
11.29,0
11.349,0
11.349,0
11.41,0
11.41,0
11.41,0
11.48,0
11.48,0
11.48,0
11.599,0
11.599,0
11.599,0
11.66,0
11.66,0
11.69,0
11.69,0
11.69,0
11.69,0
11.69,0
11.69,0
11.69,0
11.69,0
11.66,0
11.66,0
11.63,0
11.63,0
11.63,0
11.63,0
11.63,0
11.63,0
11.63,0
11.63,0
11.63,0
11.599,0
11.599,0
11.54,0
11.54,0
11.54,0
11.48,0
11.48,0
11.48,0
11.41,0
11.41,0
11.41,0
11.41,0
11.41,0
